Domain,Course Title,Rating,Number Enrolled,Like Ratio,Number of Modules,Review 1,Review 2,Review 3,URL,,,,
JAVA,Java: Data Structures and Algorithms Specialization,N/A,N/A,N/A,3 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/codio-java-dsa,,,,
JAVA,Java Basics: Selection and Iteration,4.6,"6,012",N/A,4 modules,"5
Reviewed on Apr 26, 2024
Codio is an exceptional course, deserving of a full 5-star rating. Its quality and effectiveness make it stand out. Highly recommended!","5
Reviewed on Apr 27, 2021
This helps beginners to perfect in java basics and there is a special topic know as Turtle for The onscreen pen that you use for drawing.","5
Reviewed on May 10, 2021
I really like this course, it fully for absolute beginners, if to compare it with other so-called ""beginners courses"" on Coursera. Well balanced and good structured.",https://www.coursera.org/learn/codio-java-basics,,,,
JAVA,Learn Selenium WebDriver with Java Specialization,N/A,N/A,N/A,3 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/packt-learn-selenium-webdriver-with-java,,,,
JAVA,Writing Java Application Code,4.5,"6,184",N/A,4 modules,"4
Reviewed on Jul 29, 2023
Really good course, covers a lot of topics regarding Java and it's not difficult either to cover even if you come from a different Language background",N/A,N/A,https://www.coursera.org/learn/writing-java-code-for-applications,,,,
JAVA,"Java Basic Structures: Arrays, Strings, and Files",4.7,"4,743",N/A,3 modules,"5
Reviewed on May 15, 2021
well Explained on files and strings and good practice with handson.",N/A,N/A,https://www.coursera.org/learn/java-basic-structures-arrays-strings-and-files,,,,
JAVA,Java程序设计,4.6,"29,629",93%,12 modules,"5
Reviewed on Sep 21, 2016
非常好，老师说得非常细。自己之前就学过JAVA，现在再来看这个视频，对学过的知识进行了又一次的梳理。","4
Reviewed on Apr 13, 2017
The topics in this course are all useful for a Java developer. The learner should not only learn from the videos and the sample programs, but also the reference resources introduced by the teacher.",N/A,https://www.coursera.org/learn/java-chengxu-sheji,,,,
JAVA,Object Oriented Programming in Java,4.7,"296,119",97%,6 modules,"5
Reviewed on Oct 14, 2015
I loved this course! The course videos and the projects sharpened my idea about some of the toughest concepts of Java and OOP. I recommend this course to anyone interested in learning OOP in Java. ☺","5
Reviewed on Sep 19, 2015
Thanks a lot to all of the team of this Course University of California San Diego, The Professors Christine, Leo and Mia for their efforts and Style of teaching , and Coursera for the Platform","5
Reviewed on Mar 21, 2016
It is good!!! I learnt a bit of Java beforehand but not the object oriented concept. Would definitely attend the courses by UC San Diego again as well as pay for the course when I can afford it!",https://www.coursera.org/learn/object-oriented-java,,,,
JAVA,Kotlin for Java Developers,4.7,"116,872",91%,5 modules,"5
Reviewed on Jun 29, 2019
Excellent course, packed with relevant content and useful hands on Kotlin exercises with great feedback based on Coursera provided unit tests. Looking forward to more Coursera courses from JetBrains.","5
Reviewed on Dec 15, 2018
Clearly explained, easy to understand and nice programming tasks. I could complain something of documenting what to do in programming task, and also more smaller tasks would be useful","5
Reviewed on Aug 8, 2020
Great course. I thought it was going to be a basic course and it ended being harder, in a good way! Thanks Svetlana and Andrey for putting together this course, and of course JetBrains",https://www.coursera.org/learn/kotlin-for-java-developers,,,,
JAVA,Core Java,4.9,"2,265",N/A,3 modules,N/A,N/A,N/A,https://www.coursera.org/learn/codio-core-java,,,,
JAVA,The Java Language,4.3,"6,300",N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/java-as-a-second-language-the-java-language,,,,
JAVA,Programming with Java,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/programming-with-java,,,,
JAVA,Selenium WebDriver with Java and Frameworks for all levels Specialization,N/A,N/A,N/A,4 course series,N/A,N/A,N/A,https://www.coursera.org/specializations/packt-selenium-webdriver-with-java-basics-to-advanced-and-frameworks,,,,
JAVA,Distributed Programming in Java,4.5,"25,214",94%,7 modules,"4
Reviewed on May 3, 2022
Learnt so much, I've going to do such good things at work. :)","5
Reviewed on Apr 28, 2020
A very good course, I learnt a lot from it, thank you Coursera.","4
Reviewed on Sep 23, 2017
The course was well laid out and introduced me to some new concepts.",https://www.coursera.org/learn/distributed-programming-in-java,,,,
JAVA,Building Cloud Services with the Java Spring Framework,4.3,"29,499",91%,4 modules,"5
Reviewed on Jul 24, 2020
Great course, the assignments are good for practicing.","5
Reviewed on Sep 12, 2020
Great Lectures and explanation. However before taking this course need to have a good understanding on OAuth2 subject. The lecture does not cover OAuth2 but the assignment required this.","5
Reviewed on Aug 24, 2019
I like the course content and the way of teaching of instructor. Best part of the course is Assignment. I can say proudly worth it.",https://www.coursera.org/learn/cloud-services-java-spring-framework,,,,
JAVA,"Learn to Teach Java: Sequences, Primitive Types and Using Objects",4.9,"4,744",N/A,5 modules,"5
Reviewed on Apr 3, 2022
I like the course and the instructor teaches extremely well","5
Reviewed on Oct 18, 2021
Great example were used in this course which makes easy to get the concept of the topic.","5
Reviewed on Apr 24, 2020
First i will want say Thanks to my instructor ""Beth Simon"" because I learned every thing about Sequences, Primitive Types and Using Objects in java programming in simple way.",https://www.coursera.org/learn/teach-java-sequences-primitive-types-object,,,,
JAVA,"Java Object Basics: Functions, Recursion, and Objects",4.3,"3,137",N/A,4 modules,"4
Reviewed on Jan 27, 2022
Some of the directions on the the coding challenges are vague. Also the labs that are provided go on a tangent from the information that we cover.",N/A,N/A,https://www.coursera.org/learn/java-object-basics,,,,
JAVA,Introduction to Java and Object-Oriented Programming,4.4,"37,112",92%,3 modules,"5
Reviewed on May 12, 2021
The course is very good, however it would be really nice to have at least one lecture about Object-Oriented Design in it.","5
Reviewed on Apr 6, 2021
Cool course, a lot of pain through one of the homeworks!","5
Reviewed on May 29, 2022
A 10 out of 10 course. Very well designed and the assignments are great for enhancing learning and understanding.",https://www.coursera.org/learn/java-object-oriented-programming,,,,
JAVA,Parallel Programming in Java,4.6,"48,535",94%,7 modules,"5
Reviewed on Oct 14, 2020
great course over here it has been great interacting with a simplified course where every complex thing has been narrowed down to easily understandable concepts","4
Reviewed on Jun 19, 2018
Excellent Course.I always wanted a good course on java concurrency and parallel programming.And finish->async, isolated, forAsync constructs are awesome.I have learnt much from this course.","4
Reviewed on Nov 7, 2017
Very useful course about parallel programming theory and practice.
Could be less examples with custom libraries instead of standard java features looking to practical usage at work.",https://www.coursera.org/learn/parallel-programming-in-java,,,,
JAVA,Object-Oriented Programming with Java,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/object-oriented-programming-with-java-up,,,,
JAVA,Introduction to Java,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/introduction-to-java,,,,
JAVA,Data Structures and Algorithms,N/A,"3,024",N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/developer-data-structures-and-algorithms,,,,
JAVA,Introduction to Object-Oriented Programming with Java,4.7,"39,674",97%,4 modules,"5
Reviewed on Oct 27, 2023
Covers all the important concepts. Mentions important points where other tutors fails to mention them.","4
Reviewed on Sep 11, 2023
I learn lot of tthings from here and that wwill definitely help me in future . Thank you for giving me this opportunity to learn.","5
Reviewed on May 18, 2022
This course is excellent.i really earned knowledge by this course. thanks for offering this course for free of cost.",https://www.coursera.org/learn/object-oriented-programming-with-java,,,,
JAVA,برمجة Java: المصفوفات، والقوائم، والبيانات المصنفة,N/A,N/A,N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/java-programming-arrays-lists-data-ar,,,,
JAVA,Advanced Java,N/A,N/A,N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/advanced-java-certification-course,,,,
JAVA,Programación Orientada a Objetos con Java,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/programacion-orientada-a-objetos-con-java,,,,
JAVA,Core Java - Design Patterns,N/A,N/A,N/A,1 module,N/A,N/A,N/A,https://www.coursera.org/learn/core-java-design-patterns,,,,
JAVA,Enterprise Java Beans (EJBs) and the Jakarta Persistence API (JPA),4.8,"4,940",N/A,4 modules,"5
Reviewed on Sep 29, 2024
je veux ma certificat de java EE , jai fais mon abonemment et j ai terminer mon cours , et je veux recevoir la certificat",N/A,N/A,https://www.coursera.org/learn/enterprise-java-beans-jakarta-persistence-api,,,,
JAVA,Advanced Java,4.6,"4,857",N/A,3 modules,"4
Reviewed on Mar 24, 2024
The Tutorial demos need some work and updating, the video skipped too many steps.",N/A,N/A,https://www.coursera.org/learn/advanced-java,,,,
JAVA,Introducción a Java,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/introduccion-a-java,,,,
JAVA,برمجة Java: حل المشكلات باستخدام البرامج,N/A,N/A,N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/java-programming-ar,,,,
JAVA,Introduction to Java and Programming Basics,N/A,N/A,N/A,6 modules,N/A,N/A,N/A,https://www.coursera.org/learn/packt-introduction-to-java-and-programming-basics-e66rj,,,,
JAVA,Initiation à la programmation (en Java),4.8,"47,185",96%,7 modules,"5
Reviewed on Mar 2, 2017
Super cours pour débuter en Java. Très progressif, et très bien expliqué, il permet de bien progresser. Je continue avec le cours sur l'orienté objet","5
Reviewed on Jun 14, 2017
Des cours très intéressants faites sur mesures pour des personnes tels que moi passionner par l'informatique, mais qui ne savent pas comment et par où commencer. je recommande fortement.","4
Reviewed on Jul 13, 2018
c'est un cours consistent de programmation généraliste pour un débutant mais ne tient pas en considération la notion d'orienté objet : caractéristique du Java",https://www.coursera.org/learn/initiation-programmation-java,,,,
JAVA,Java Testing: An Introduction to TDD,3.5,"1,564",N/A,2 modules,"5
Reviewed on Jun 2, 2024
thanks it help me too much , in my journey become a software engineer",N/A,N/A,https://www.coursera.org/learn/introduction-test-driven-development,,,,
JAVA,Data Structures and Performance,4.8,"106,027",96%,6 modules,"5
Reviewed on Jan 4, 2016
Very good course. This is a very right course for Java learners, will be touched on all basic stuff that are needed in Java. I will highly recommend this course for my colleagues.","5
Reviewed on Oct 13, 2017
Great into to Java, instructors have clearly put thought in to the format with the choose your own learning style videos, and additional coverage where it may be needed. These have been very helpful.","5
Reviewed on Jan 11, 2016
I really liked this course and the way it was taught. Although I am a CS major, I really learnt a lot of other stuff from this course apart from learning the core content of Data Structures.",https://www.coursera.org/learn/data-structures-optimizing-performance,,,,
JAVA,Learn to Teach Java: Writing Classes and Arrays,4.8,"2,506",N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/teach-java-classes-arrays,,,,
JAVA,Java for Android,4.5,"216,510",93%,8 modules,"5
Reviewed on May 16, 2016
Java for Android was everything I expected. The lectures and assignments were very clear. The instructors and mentors were very helpful. I am looking forward to the next class.","4
Reviewed on Jul 10, 2020
Great content. All the materials are perfectly covered and taught. I just have a huge problem with the peer to peer review system. The amount of plagiarised code I had to flag was annoyingly high.","4
Reviewed on Dec 18, 2017
The course is excellent.However it could have been much better if the assignments would have been more difficult.They are too basic.They should have been more challenging.",https://www.coursera.org/learn/java-for-android,,,,
JAVA,Core Java - Advanced Fundamentals,N/A,N/A,N/A,2 modules,N/A,N/A,N/A,https://www.coursera.org/learn/core-java-advanced-fundamentals,,,,
JAVA,Java: Algorithms,N/A,N/A,N/A,3 modules,N/A,N/A,N/A,https://www.coursera.org/learn/codio-java-algorithms,,,,
JAVA,Learn to Teach Java: Inheritance and Recursion,N/A,"1,852",N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/teach-java-inheritance-recursion,,,,
JAVA,Learn to Teach Java: ArrayLists and 2D Arrays,N/A,"1,609",N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/teach-java-arraylist-2d-arrays,,,,
JAVA,Intermediate Object-Oriented Programming with Java,N/A,"6,700",N/A,Guided Project,"5
Reviewed on Apr 3, 2021
An excellent way to explore and upgrade skills. Thank you Coursera and Thank you sir for the great support",N/A,N/A,https://www.coursera.org/projects/intermediate-oop-java,,,,
JAVA,Oracle Java Foundations,N/A,N/A,N/A,2 modules,N/A,N/A,N/A,https://www.coursera.org/learn/oracle-java-foundations,,,,
JAVA,Programando con Java para aplicaciones Android,4.7,"64,624",98%,3 modules,"4
Reviewed on Nov 20, 2021
Un curso introductorio muy sencillo y bien explicado, el lado negativo es el largo tiempo de espera para que puedas recibir tus calificaciones para finalizar el curso.","5
Reviewed on Oct 19, 2020
Excelente contenido, realmente util y con un aprendizaje asegurado ya que las explicaciones y contenidos son muy explícitos y de mucha comprensión. Sin dudas lo recomiendo.","4
Reviewed on Jul 26, 2020
Un curso introductorio a la programación en Java bastante concreto y con ejemplos claros. Pero, las prácticas tienen requerimientos sobre temas que no se trataron en el curso.",https://www.coursera.org/learn/programandoconjava,,,,
JAVA,Introduction To Java Database Connectivity - JDBC,N/A,"4,182",N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/java-database-connectivity,,,,
JAVA,Java Classes and Objects,N/A,"4,107",N/A,Guided Project,"4
Reviewed on Dec 13, 2020
Good for beginners who are just starting to work on creating classes in Java, but who already know about classes and objects in another programming language.","5
Reviewed on Sep 9, 2021
Discussions in creating programs in OOP was detailed. It is very easy for us to understand the logic of the program",N/A,https://www.coursera.org/projects/java-classes-and-objects,,,,
JAVA,Functional Programming with Java and Threads,4.1,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/functional-programming-with-java-and-threads,,,,
JAVA,Introduction to Java as a Second Language,4.5,"7,338",N/A,5 modules,"5
Reviewed on Jun 24, 2023
Great exp and course helped me understand basic and much more","5
Reviewed on Mar 8, 2022
Excellent! The pace of the instructor is great. Nice instruction skills!",N/A,https://www.coursera.org/learn/intro-java-second-language,,,,
JAVA,Introduction to Java Programming: Java Fundamental Concepts,N/A,"12,975",N/A,Guided Project,"5
Reviewed on Mar 2, 2024
Coursera is a great learning platform and best training. sir/mam is also best for teaching every student. i am thank of teacher and Coursera team...","5
Reviewed on Sep 17, 2020
just good ,enough material to read and watch for beginners .","5
Reviewed on Aug 3, 2021
Fluent and well comprehensive course for beginners.",https://www.coursera.org/projects/introduction-to-java-programming-java-fundamental-concepts,,,,
JAVA,Object-Oriented Programming and Java Fundamentals,N/A,N/A,N/A,7 modules,N/A,N/A,N/A,https://www.coursera.org/learn/packt-object-oriented-programming-and-java-fundamentals-e66rj,,,,
JAVA,Lambda Expressions with Java,N/A,"3,061",N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/lambda-expressions,,,,
JAVA,Java Built in Data Structures,N/A,"2,923",N/A,Guided Project,"5
Reviewed on Feb 10, 2022
This course is great if you are beginning to learn data structures in java.","4
Reviewed on May 27, 2022
Voice is not clear, missing basic explanations before change.",N/A,https://www.coursera.org/projects/java-built-in-data-structures,,,,
JAVA,برمجة Java: إنشاء نظام ترشيح,N/A,N/A,N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/java-programming-recommender-ar,,,,
JAVA,Build Your First GUI App With Java,N/A,N/A,N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/build-java-gui-apps,,,,
JAVA,Unit Testing in Java,N/A,"3,766",N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/unit-testing-in-java,,,,
JAVA,Java for Beginners: Loops & Arrays,N/A,N/A,N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/java-beginners-loops--arrays,,,,
JAVA,Test Driven Development in Java for Beginners,N/A,"1,716",N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/test-driven-development-in-java,,,,
JAVA,Java Programming Fundamentals and Object-Oriented Concepts,N/A,N/A,N/A,9 modules,N/A,N/A,N/A,https://www.coursera.org/learn/packt-java-programming-fundamentals-and-object-oriented-concepts-ebdwt,,,,
JAVA,Object-Oriented Java: Inheritance and Encapsulation,4.3,"2,616",N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/object-oriented-java-inheritance-and-encapsulation,,,,
JAVA,Building Modern Distributed Systems with Java,N/A,N/A,N/A,5 modules,N/A,N/A,N/A,https://www.coursera.org/learn/packt-building-modern-distributed-systems-with-java-fpk3r,,,,
JAVA,Java Primitive Types to Calculate Expenses,N/A,N/A,N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/java-primitive-types-to-calculate-expenses,,,,
JAVA,Mastering Java and Advanced Tools for Selenium Automation,N/A,N/A,N/A,6 modules,N/A,N/A,N/A,https://www.coursera.org/learn/packt-mastering-java-and-advanced-tools-for-selenium-automation-lfsuw,,,,
JAVA,Java: Non-Linear Data Structures,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/codio-java-non-linear-data-structures,,,,
JAVA,APIs in Java: Call and Integrate an API,N/A,N/A,N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/apis-java-call-integrate-api,,,,
JAVA,Java: Linear Data Structures and Trees,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/codio-java-linear-data-structures-and-trees,,,,
JAVA,Create a Record of Students using Abstraction in Java,N/A,N/A,N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/create-a-record-of-students-using-abstraction-in-java,,,,
JAVA,Java: Non-Linear Data Structures,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/codio-java-non-linear-data-structures,,,,
JAVA,Desenvolvimento Ágil com Java Avançado,4.7,"22,398",99%,4 modules,"5
Reviewed on Feb 8, 2017
Muito bom como todos os cursos do ITA aqui no coursera.","5
Reviewed on Dec 3, 2016
Curso fantástico, conteúdo adequado, específico e muito bem apresentado. Indico para todos. Nota 10.","5
Reviewed on Sep 26, 2016
Muito bom curso. O básico para acesso a banco de dados com JDBC e desenvolvimento WEB são apresentados de uma forma prática e objetiva.",https://www.coursera.org/learn/desenvolvimento-agil-com-java-avancado,,,,
JAVA,APIs in Java: Call and Integrate an API,N/A,N/A,N/A,Guided Project,N/A,N/A,N/A,https://www.coursera.org/projects/apis-java-call-integrate-api,,,,
JAVA,Introducción a la programación orientada a objetos en Java,4.6,"63,952",98%,5 modules,"5
Reviewed on Jun 19, 2020
Muy claras las explicaciones , muy ameno y sobre todo con muchos ejercicios prácticos para reforzar lo que hemos visto en los viedos.","5
Reviewed on May 7, 2020
Muy buen curso para personas que ya hayan visto una introducción a la programación o hayan programado en otros lenguajes. No lo recomiendo para principiantes totales en el mundo de la programación.","4
Reviewed on Mar 24, 2022
Muy bien explicado y muy practico, excelente para aprender la teoria y la practica al mismo tiempo.",https://www.coursera.org/learn/introduccion-programacion-java,,,,
JAVA,Java Servlet Pages (JSPs),4.7,"11,712",N/A,3 modules,N/A,N/A,N/A,https://www.coursera.org/learn/java-servlet-pages,,,,
JAVA,Mastering UX & Business App Development with OOP,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/mastering-ux-business-app-development-with-oop,,,,
JAVA,Java: Linear Data Structures and Trees,N/A,N/A,N/A,4 modules,N/A,N/A,N/A,https://www.coursera.org/learn/codio-java-linear-data-structures-and-trees,,,,
